replication,batch_id,station,product,volume_in_m3,volume_out_m3,scrap_m3,enter_buffer_time_h,start_process_time_h,end_process_time_h,setup_time_h,birth_time_h,source_aserradero_batch_id
1,166,bano,P1,14.29,14.29,0.0,1689.1391596035953,1689.1391596035955,1689.6649997001591,0.0,1689.1391596035953,503
1,79,secado,P2,75.086,72.458,2.628,1555.6104888844761,1661.5770615963434,1690.1351804208973,0.0,1555.6104888844761,459
1,120,drymill,P2,42.692,39.592,3.1,1490.5303119025934,1687.0,1690.2619339341306,0.0,1490.5303119025934,449
1,504,aserradero,P2,29.441,14.962,14.478,1641.2596016875818,1689.6291596035956,1691.2990714423536,0.49,1691.2990714423536,504
1,505,aserradero,P3,29.259,14.882,14.377,1644.0155406597232,1691.7890714423536,1693.183817965649,0.49,1693.183817965649,505
1,121,drymill,P2,38.407,36.421,1.987,1494.4351225215064,1690.2619339341306,1693.247155275953,0.0,1494.4351225215064,449
1,506,aserradero,P2,29.596,14.52,15.076,1645.3889090749024,1693.673817965649,1695.1490213739246,0.49,1695.1490213739246,506
1,122,drymill,P2,42.237,39.273,2.964,1555.6104888844761,1693.247155275953,1696.3918503146408,0.0,1555.6104888844761,459
1,507,aserradero,P1,30.677,15.272,15.405,1648.3206906457733,1695.6390213739246,1697.0094101055738,0.49,1697.0094101055738,507
1,167,bano,P1,14.147,14.114,0.033,1697.0094101055738,1697.0094101055738,1697.6602625652124,0.0,1697.0094101055738,507
1,508,aserradero,P2,27.788,13.581,14.207,1652.0916696541483,1697.4994101055738,1698.9083928737912,0.49,1698.9083928737912,508
1,123,drymill,P2,32.922,30.99,1.932,1555.6104888844761,1696.3918503146408,1699.4192304656412,0.0,1555.6104888844761,459
1,509,aserradero,P2,28.334,14.362,13.971,1686.0478912149165,1698.9083928737912,1707.345863088155,0.0,1707.345863088155,509
1,510,aserradero,P2,31.263,15.49,15.773,1689.920383467281,1711.0,1712.495549401046,0.0,1712.495549401046,510
1,511,aserradero,P1,31.546,15.505,16.041,1694.219924268252,1712.985549401046,1714.52649751723,0.49,1714.52649751723,511
1,168,bano,P1,15.806,15.49,0.316,1714.52649751723,1714.52649751723,1715.1179506919957,0.0,1714.52649751723,511
1,512,aserradero,P3,29.891,15.304,14.587,1697.9085861070891,1715.01649751723,1716.6159576562372,0.49,1716.6159576562372,512
1,513,aserradero,P2,32.205,15.975,16.229,1699.5456225727069,1717.1059576562373,1718.5113653409792,0.49,1718.5113653409792,513
1,514,aserradero,P2,31.898,16.214,15.684,1700.004820797769,1718.5113653409792,1720.0278810209982,0.0,1720.0278810209982,514
1,80,secado,P2,76.581,73.752,2.828,1605.192706239978,1690.1351804208973,1722.3447928891867,0.0,1605.192706239978,479
1,124,drymill,P2,38.258,36.16,2.098,1605.192706239978,1722.3447928891867,1725.190748112114,0.0,1605.192706239978,479
1,515,aserradero,P2,28.366,14.373,13.992,1700.5557841615507,1720.0278810209982,1727.0084136311566,0.0,1727.0084136311566,515
1,125,drymill,P2,38.37,35.947,2.423,1605.192706239978,1725.190748112114,1728.502371628793,0.0,1605.192706239978,479
1,516,aserradero,P3,31.412,16.013,15.399,1701.7886316975641,1735.49,1736.9510345517951,0.49,1736.9510345517951,516
1,517,aserradero,P1,31.047,15.411,15.637,1706.457335694456,1737.4410345517952,1738.8844182056055,0.49,1738.8844182056055,517
1,169,bano,P1,15.862,15.862,0.0,1738.8844182056055,1738.8844182056055,1739.590261925177,0.0,1738.8844182056055,517
1,518,aserradero,P1,30.546,15.469,15.077,1713.4997804353834,1738.8844182056055,1740.3313598886737,0.0,1740.3313598886737,518
1,170,bano,P1,16.024,15.505,0.518,1740.3313598886737,1740.3313598886737,1740.8694474415684,0.0,1740.3313598886737,518
1,519,aserradero,P2,30.861,15.557,15.304,1713.6663729699274,1740.8213598886737,1742.364970837442,0.49,1742.364970837442,519
1,520,aserradero,P3,28.498,14.561,13.937,1714.5314793870066,1742.854970837442,1744.295460851105,0.49,1744.295460851105,520
